,county,state,fips,cases,deaths
0,Abbeville,South Carolina,45001.0,1990471,26081.0
1,Acadia,Louisiana,22001.0,5484277,132996.0
2,Accomack,Virginia,51001.0,2306179,36094.0
3,Ada,Idaho,16001.0,40965355,360167.0
4,Adair,Iowa,19001.0,573173,18771.0
5,Adair,Kentucky,21001.0,1673056,41065.0
6,Adair,Missouri,29001.0,1923760,17552.0
7,Adair,Oklahoma,40001.0,2473495,26810.0
8,Adams,Colorado,8001.0,43269178,504420.0
9,Adams,Idaho,16003.0,243056,4414.0
10,Adams,Illinois,17001.0,6989889,92326.0
11,Adams,Indiana,18001.0,2526917,38496.0
12,Adams,Iowa,19003.0,261673,3523.0
13,Adams,Mississippi,28001.0,2322029,60636.0
14,Adams,Nebraska,31001.0,2200177,30101.0
15,Adams,North Dakota,38001.0,199706,2577.0
16,Adams,Ohio,39001.0,2007115,41671.0
17,Adams,Pennsylvania,42001.0,7141613,119698.0
18,Adams,Washington,53001.0,1670254,15548.0
19,Adams,Wisconsin,55001.0,1472593,16285.0
20,Addison,Vermont,50001.0,1068300,5313.0
21,Adjuntas,Puerto Rico,72001.0,522486,0.0
22,Aguada,Puerto Rico,72003.0,1513797,0.0
23,Aguadilla,Puerto Rico,72005.0,1817093,0.0
24,Aguas Buenas,Puerto Rico,72007.0,1065549,0.0
25,Aibonito,Puerto Rico,72009.0,789654,0.0
26,Aiken,South Carolina,45003.0,13207014,160307.0
27,Aitkin,Minnesota,27001.0,977935,23502.0
28,Alachua,Florida,12001.0,20707943,211216.0
29,Alamance,North Carolina,37001.0,14129171,173248.0
30,Alameda,California,6001.0,73207411,792535.0
31,Alamosa,Colorado,8003.0,1306713,23353.0
32,Albany,New York,36001.0,17869488,230259.0
33,Albany,Wyoming,56001.0,3287536,14031.0
34,Albemarle,Virginia,51003.0,4557049,52708.0
35,Alcona,Michigan,26001.0,524822,21811.0
36,Alcorn,Mississippi,28003.0,2874154,50262.0
37,Aleutians East Borough,Alaska,2013.0,257868,1269.0
38,Aleutians West Census Area,Alaska,2016.0,488844,187.0
39,Alexander,Illinois,17003.0,389750,6066.0
40,Alexander,North Carolina,37003.0,3273066,51148.0
41,Alexandria city,Virginia,51510.0,9172334,88239.0
42,Alfalfa,Oklahoma,40003.0,691258,4204.0
43,Alger,Michigan,26003.0,530594,4153.0
44,Allamakee,Iowa,19005.0,1050817,27580.0
45,Allegan,Michigan,26005.0,8000895,103863.0
46,Allegany,Maryland,24001.0,5232096,133391.0
47,Allegany,New York,36003.0,2622861,56512.0
48,Alleghany,North Carolina,37005.0,862601,3465.0
49,Alleghany,Virginia,51005.0,1041026,33359.0
50,Allegheny,Pennsylvania,42003.0,75494953,1234845.0
51,Allen,Indiana,18003.0,32141967,469838.0
52,Allen,Kansas,20001.0,1063701,11880.0
53,Allen,Kentucky,21003.0,1848797,31550.0
54,Allen,Louisiana,22003.0,2625063,61865.0
55,Allen,Ohio,39003.0,8799563,162898.0
56,Allendale,South Carolina,45005.0,704820,10386.0
57,Alpena,Michigan,26007.0,1663828,43659.0
58,Alpine,California,6003.0,52380,0.0
59,Amador,California,6005.0,2757066,31351.0
60,Amelia,Virginia,51007.0,734407,19552.0
61,Amherst,Virginia,51009.0,2183002,25551.0
62,Amite,Mississippi,28005.0,1028112,26656.0
63,Anasco,Puerto Rico,72011.0,910091,0.0
64,Anchorage,Alaska,2020.0,27873801,152590.0
65,Anderson,Kansas,20003.0,638916,8661.0
66,Anderson,Kentucky,21005.0,1668712,18730.0
67,Anderson,South Carolina,45007.0,17894297,358194.0
68,Anderson,Tennessee,47001.0,6639261,109556.0
69,Anderson,Texas,48001.0,4214968,86988.0
70,Andrew,Missouri,29003.0,1465284,15942.0
71,Andrews,Texas,48003.0,1373789,29040.0
72,Androscoggin,Maine,23001.0,5933919,64778.0
73,Angelina,Texas,48005.0,6176804,187277.0
74,Anne Arundel,Maryland,24003.0,30033189,428359.0
75,Anoka,Minnesota,27003.0,30817243,304360.0
76,Anson,North Carolina,37007.0,1998126,35983.0
77,Antelope,Nebraska,31003.0,383219,4657.0
78,Antrim,Michigan,26009.0,1207295,18916.0
79,Apache,Arizona,4001.0,8028393,267426.0
80,Appanoose,Iowa,19007.0,956240,28066.0
81,Appling,Georgia,13001.0,1780964,50016.0
82,Appomattox,Virginia,51011.0,1170559,16253.0
83,Aransas,Texas,48007.0,1179486,29851.0
84,Arapahoe,Colorado,8005.0,46375791,553171.0
85,Archer,Texas,48009.0,636636,8928.0
86,Archuleta,Colorado,8007.0,796574,2714.0
87,Arecibo,Puerto Rico,72013.0,3132221,0.0
88,Arenac,Michigan,26011.0,904753,20944.0
89,Arkansas,Arkansas,5001.0,1758207,28215.0
90,Arlington,Virginia,51013.0,11990017,166257.0
91,Armstrong,Pennsylvania,42005.0,4554532,103493.0
92,Armstrong,Texas,48011.0,149292,3717.0
93,Aroostook,Maine,23003.0,2414035,39043.0
94,Arroyo,Puerto Rico,72015.0,440653,0.0
95,Arthur,Nebraska,31005.0,13630,444.0
96,Ascension,Louisiana,22005.0,10931678,125973.0
97,Ashe,North Carolina,37009.0,1778603,25801.0
98,Ashland,Ohio,39005.0,3519029,65968.0
99,Ashland,Wisconsin,55003.0,1022840,11184.0
100,Ashley,Arkansas,5003.0,1598711,23763.0
101,Ashtabula,Ohio,39007.0,5655068,127326.0
102,Asotin,Washington,53003.0,1290750,21972.0
103,Assumption,Louisiana,22007.0,1858839,29019.0
104,Atascosa,Texas,48013.0,4267441,93302.0
105,Atchison,Kansas,20005.0,1309295,11479.0
106,Atchison,Missouri,29005.0,379214,5560.0
107,Athens,Ohio,39009.0,4147322,38913.0
108,Atkinson,Georgia,13003.0,800000,15539.0
109,Atlantic,New Jersey,34001.0,21669563,429079.0
110,Atoka,Oklahoma,40005.0,1335259,15292.0
111,Attala,Mississippi,28007.0,1747891,48102.0
112,Audrain,Missouri,29007.0,1972393,37200.0
113,Audubon,Iowa,19009.0,371491,7174.0
114,Auglaize,Ohio,39011.0,3717345,59116.0
115,Augusta,Virginia,51015.0,5089402,57762.0
116,Aurora,South Dakota,46003.0,308922,8075.0
117,Austin,Texas,48015.0,1720992,24753.0
118,Autauga,Alabama,1001.0,5220329,73153.0
119,Avery,North Carolina,37011.0,1470099,14981.0
120,Avoyelles,Louisiana,22009.0,3639287,87090.0
121,Baca,Colorado,8009.0,242693,2673.0
122,Bacon,Georgia,13005.0,1257621,27941.0
123,Bailey,Texas,48017.0,563573,13205.0
124,Baker,Florida,12003.0,2938407,48442.0
125,Baker,Georgia,13007.0,189149,6714.0
126,Baker,Oregon,41001.0,889136,12820.0
127,Baldwin,Alabama,1003.0,17934798,234916.0
128,Baldwin,Georgia,13009.0,3488380,93069.0
129,Ballard,Kentucky,21007.0,355802,7994.0
130,Baltimore,Maryland,24005.0,44782690,1031057.0
131,Baltimore city,Maryland,24510.0,36976943,751037.0
132,Bamberg,South Carolina,45009.0,1165963,34425.0
133,Bandera,Texas,48019.0,1091465,23887.0
134,Banks,Georgia,13011.0,1374116,28454.0
135,Banner,Nebraska,31007.0,27368,363.0
136,Bannock,Idaho,16005.0,6648910,80492.0
137,Baraga,Michigan,26013.0,691408,22517.0
138,Barber,Kansas,20007.0,298444,3033.0
139,Barbour,Alabama,1005.0,1865916,36582.0
140,Barbour,West Virginia,54001.0,1290338,21551.0
141,Barceloneta,Puerto Rico,72017.0,811830,0.0
142,Barnes,North Dakota,38003.0,1012549,18760.0
143,Barnstable,Massachusetts,25001.0,10219817,287787.0
144,Barnwell,South Carolina,45011.0,1932777,38521.0
145,Barranquitas,Puerto Rico,72019.0,1279836,0.0
146,Barren,Kentucky,21009.0,3817391,67530.0
147,Barron,Wisconsin,55005.0,4435547,51529.0
148,Barrow,Georgia,13013.0,7360429,95045.0
149,Barry,Michigan,26015.0,4211095,47729.0
150,Barry,Missouri,29009.0,2201364,37384.0
151,Bartholomew,Indiana,18005.0,6422618,105046.0
