month_date_yyyymm,county_fips,county_name,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count
202408,55035,"eau claire, wi",351075,199,41,120,4,104,150,182,2016,420172,348
202408,19173,"taylor, ia",161250,18,66,8,0,4,10,82,1372,165721,27
202408,36009,"cattaraugus, ny",199450,181,56,72,0,36,155,120,1489,374036,338
202408,31157,"scotts bluff, ne",279500,102,46,44,0,28,41,183,1385,462940,143
202408,46105,"perkins, sd",149000,13,98,0,0,4,5,76,1700,423686,19
202408,1109,"pike, al",247500,123,59,32,0,20,18,127,1827,278824,141
,5057,"hempstead, ar",129900,34,70,4,0,8,9,85,1752,182673,42
202408,21125,"laurel, ky",280000,126,58,44,0,56,59,150,1924,323360,184
202408,8125,"yuma, co",304500,21,110,8,0,4,11,156,1852,322800,32
202408,20203,"wichita, ks",230000,1,19,0,0,0,,185,1240,230000,1
202408,13215,"muscogee, ga",219999,410,45,224,4,148,294,128,1737,311098,693
202408,38039,"griggs, nd",99000,5,45,0,0,0,1,83,1728,147133,5
202408,42007,"beaver, pa",185900,348,43,180,4,172,268,125,1520,250622,615
202408,48341,"moore, tx",262500,37,56,12,0,12,27,127,2033,277214,64
202408,27077,"lake of the woods, mn",295000,37,54,4,0,12,6,189,1440,345500,43
202408,41039,"lane, or",546798,896,47,400,96,540,461,303,1846,665338,1357
202408,9003,"hartford, ct",389000,763,33,752,8,228,1315,233,1688,496852,2065
202408,55075,"marinette, wi",259900,128,39,76,0,40,83,171,1346,343258,213
202408,45043,"georgetown, sc",446495,453,72,120,4,140,174,255,1801,630919,623
202408,21069,"fleming, ky",289950,24,77,4,0,8,8,127,2152,298781,33
202408,27057,"hubbard, mn",394450,97,65,36,0,36,48,212,2016,505952,144
202408,13083,"dade, ga",375000,57,60,12,0,24,15,208,1888,602973,71
202408,13237,"putnam, ga",545000,223,70,68,4,64,46,255,2352,874278,259
202408,19127,"marshall, ia",192500,66,38,52,0,32,69,144,1414,228129,134
202408,31085,"hayes, ne",927250,2,98,0,0,0,,403,1929,927250,2
202408,13085,"dawson, ga",575000,177,51,80,4,64,87,220,2802,794752,271
202408,46077,"kingsbury, sd",239900,13,65,4,0,0,5,230,1504,442669,18
202408,21023,"bracken, ky",276389,12,55,4,0,4,2,168,2053,426781,14
202408,40119,"payne, ok",256574,257,59,72,0,48,138,161,1754,386833,392
202408,22057,"lafourche, la",228905,345,80,88,4,80,85,131,1798,289456,434
202408,54035,"jackson, wv",235000,37,42,28,0,12,22,117,1811,297584,59
202408,28085,"lincoln, ms",249500,51,87,16,0,16,15,111,2122,284259,66
202408,48097,"cooke, tx",399568,236,76,52,4,84,53,204,2000,532041,289
202408,8105,"rio grande, co",497000,72,71,24,0,12,15,250,2120,687141,86
202408,17063,"grundy, il",349000,80,45,52,0,20,56,183,1935,466235,137
202408,46003,"aurora, sd",354500,4,32,4,0,0,1,191,1850,310500,4
202408,17071,"henderson, il",116950,13,42,4,0,0,4,85,1352,162286,18
202408,31183,"wheeler, ne",129000,0,125,0,0,0,1,,,129000,1
202408,39175,"wyandot, oh",199900,30,50,12,0,20,16,133,1840,242447,47
202408,5045,"faulkner, ar",315000,333,44,180,4,140,203,159,2064,372226,530
202408,5127,"scott, ar",188000,44,91,12,0,8,5,106,1688,258060,49
202408,39103,"medina, oh",412450,222,35,216,0,96,254,171,2437,521632,473
202408,36079,"putnam, ny",599999,217,44,92,0,32,17,306,2048,829201,235
202408,1099,"monroe, al",197000,65,107,12,0,12,6,99,2140,226038,70
202408,27063,"jackson, mn",194950,30,49,20,0,12,11,123,1605,235603,43
202408,28083,"leflore, ms",158000,49,66,8,0,8,9,77,1832,167315,57
202408,36071,"orange, ny",546000,897,43,400,12,176,137,257,2100,666163,1029
202408,48473,"waller, tx",413945,390,46,128,40,144,213,182,2328,519587,604
202408,46079,"lake, sd",559950,53,66,8,0,12,22,287,2302,689286,72
202408,54071,"pendleton, wv",235000,24,99,4,0,4,13,163,1714,317644,36
